"","teamname","MINS","FG","FGA","FG3","FG3A","FT","FTA","PTS","OREB","DREB","AST","TO","STL","BLK","FLS","opp_FG","opp_FGA","opp_3FG","opp_3FGA","opp_FT","opp_FTA","opp_PTS","opp_OREB","opp_DREB","opp_AST","opp_TO","opp_STL","opp_BLK","opp_FLS"
"58","Columbia",4801,666,1546,204,568,320,450,1856,266,640,397,338,178,78,489,660,1504,243,634,359,522,1922,297,679,411,371,157,85,472
"59","Coppin St.",6025,655,1729,207,654,440,691,1957,341,693,304,404,170,69,616,818,1732,248,696,478,636,2362,343,875,443,401,169,108,615
"60","Cornell",5400,710,1584,228,684,326,467,1974,207,720,392,378,143,73,513,779,1701,207,582,401,542,2166,270,737,399,310,195,100,471
"61","Creighton",6600,957,1991,265,712,374,551,2538,265,864,532,413,203,98,547,875,1999,237,733,399,579,2386,368,832,417,467,225,96,573
"62","Dartmouth",5200,631,1461,199,563,351,495,1812,249,667,309,401,126,49,494,740,1578,197,563,343,484,2020,250,651,335,294,185,127,479
"63","Davidson",6450,814,1861,275,816,442,587,2362,285,864,500,390,163,106,583,810,1874,241,632,431,625,2292,318,849,417,382,215,109,581
"64","Dayton",6025,771,1656,245,631,493,715,2280,259,773,448,351,222,115,569,689,1664,211,652,417,588,2006,288,750,377,437,130,113,598
"65","DePaul",6200,775,1804,184,564,472,642,2206,339,717,365,451,199,92,634,812,1743,253,701,511,700,2388,308,793,492,443,204,106,619
"66","Delaware",6224,722,1737,182,606,383,559,2009,303,769,354,369,166,96,593,776,1708,224,719,456,684,2274,292,811,466,313,178,119,526
"67","Delaware St.",6076,705,1723,237,676,344,519,1991,316,648,386,404,161,80,582,766,1708,256,738,486,668,2274,384,792,458,418,187,100,510
"68","Denver",6050,811,1684,223,555,428,583,2279,273,785,452,404,150,64,603,756,1700,236,659,491,664,2239,257,676,349,323,192,101,587
"69","Detroit Mercy",5825,796,1797,224,646,457,685,2288,301,691,381,442,197,75,689,866,1734,243,646,551,839,2561,316,816,452,414,199,120,573
"70","Drake",5875,712,1749,255,739,384,508,2063,292,704,349,364,178,72,529,819,1690,239,649,378,542,2255,326,800,403,363,199,121,492
"71","Drexel",6301,833,1915,244,700,403,604,2313,360,763,446,416,183,94,603,815,1841,240,667,471,734,2464,335,824,439,393,201,113,592
"72","Duke",7200,989,2081,303,793,628,821,2909,380,923,468,410,219,168,623,930,2162,181,623,472,663,2513,397,813,439,437,170,89,719
"73","Duquesne",6400,785,1835,226,677,460,680,2256,343,824,401,454,157,127,597,843,1926,237,661,453,641,2376,357,838,480,399,189,152,614
"74","ETSU",6675,906,1845,249,652,551,791,2612,320,856,487,495,284,156,670,767,1841,257,725,510,702,2301,324,746,366,524,231,118,684
"75","East Carolina",6601,716,1797,214,668,442,673,2088,370,880,394,459,168,171,551,771,1968,218,670,388,535,2148,397,834,410,375,215,109,605
"76","Eastern Ill.",5075,701,1715,238,650,345,460,1985,315,671,397,343,174,104,532,685,1568,188,524,435,616,1993,321,752,358,386,157,86,487
"77","Eastern Ky.",5925,692,1622,219,678,387,551,2035,254,672,385,411,166,92,572,752,1670,212,585,499,677,2215,330,754,417,366,221,96,527
"78","Eastern Mich.",5601,770,1767,183,544,450,624,2173,364,657,374,351,258,118,644,696,1590,212,625,544,807,2183,353,719,415,417,190,78,554
"79","Eastern Wash.",6375,885,1865,253,687,499,649,2392,291,841,385,386,145,121,647,851,1917,260,690,507,708,2469,325,773,437,328,201,88,619
"80","Elon",6149,775,1682,286,802,377,541,2213,261,852,425,350,146,71,497,788,1865,237,735,351,493,2164,311,817,332,314,178,98,540
"81","Evansville",6025,743,1642,116,314,498,752,2137,277,781,404,378,159,89,632,724,1689,229,656,490,691,2167,291,744,402,389,180,135,619
"82","FGCU",6250,876,1811,196,582,425,611,2373,346,788,438,381,164,102,591,776,1784,208,669,437,641,2197,331,681,383,371,186,95,552
"83","FIU",5702,744,1665,166,513,359,475,2013,289,680,320,378,153,65,542,760,1618,202,557,431,593,2153,265,683,402,331,191,115,458
"84","Fairfield",6049,797,1792,251,740,328,489,2173,268,818,448,405,157,92,547,796,1826,197,609,391,581,2180,321,816,367,377,196,73,514
"85","Fairleigh Dickinson",5825,718,1645,192,588,459,594,2087,276,659,347,386,181,68,620,706,1641,199,579,472,669,2083,342,732,427,395,181,75,545
"86","Fla. Atlantic",5675,691,1704,186,594,365,518,1933,293,690,330,329,148,82,538,756,1653,176,475,412,593,2100,309,798,326,351,172,92,482
"87","Florida",7276,953,2119,278,776,583,851,2804,416,918,451,431,271,172,662,849,2072,198,649,498,705,2394,385,881,347,535,199,101,748
"88","Florida A&M",5700,690,1664,168,495,411,625,1959,288,674,343,373,167,91,528,781,1706,254,661,396,579,2212,358,809,409,382,183,81,564
"89","Florida St.",6800,957,2076,226,653,548,793,2660,388,887,491,408,254,174,668,829,2000,254,722,540,752,2452,380,785,411,483,176,102,667
"90","Fordham",6299,702,1709,251,757,334,457,1989,253,630,404,410,303,90,595,702,1526,197,593,474,664,2092,284,823,466,512,204,103,504
"91","Fort Wayne",6100,932,1847,310,752,356,496,2530,305,806,508,403,223,116,548,840,1849,284,765,444,599,2423,263,753,453,404,174,81,507
"92","Fresno St.",6050,789,1662,201,564,479,667,2258,291,795,385,395,258,102,653,712,1696,217,648,553,783,2194,304,778,390,458,189,99,599
"93","Furman",6650,843,1803,295,775,409,579,2390,287,825,477,426,220,66,582,777,1807,233,738,431,609,2218,306,768,397,432,195,75,577
"94","Ga. Southern",5798,742,1693,275,708,456,672,2215,265,737,303,339,196,92,583,789,1778,253,729,407,605,2238,360,819,408,399,148,94,572
"95","Gardner-Webb",5875,789,1695,187,497,481,715,2246,327,782,407,443,260,102,625,735,1714,211,555,486,700,2167,313,735,417,443,199,115,630
"96","George Mason",6725,843,1893,179,524,564,751,2429,364,958,385,435,162,89,551,869,2037,244,746,390,565,2372,310,788,453,331,204,136,622
"97","George Washington",7000,821,1938,276,743,529,710,2447,394,885,467,453,192,136,541,904,2031,233,659,397,546,2438,318,814,508,379,243,113,636
"98","Georgetown",6000,808,1753,206,590,510,747,2369,305,836,480,426,175,127,638,798,1893,199,614,514,686,2309,367,745,400,391,221,110,668
"99","Georgia",6652,807,1848,164,516,571,752,2349,323,900,409,429,177,122,621,806,1962,240,714,469,671,2321,353,796,387,385,211,118,670
"100","Georgia St.",6000,821,1762,226,646,380,597,2248,308,780,366,435,210,123,635,720,1732,258,796,493,693,2191,320,725,421,431,194,86,557
"101","Georgia Tech",6825,817,1894,147,468,464,683,2245,324,889,508,459,225,181,551,811,2035,244,743,401,565,2267,392,847,458,448,237,131,611
"102","Gonzaga",7200,1022,2129,272,721,529,790,2995,367,1126,556,423,244,151,621,807,2225,205,722,403,618,2222,403,820,347,441,196,111,687
"103","Grambling",6100,728,1729,161,511,434,659,1941,369,612,325,420,256,69,601,766,1579,221,584,460,667,2213,330,783,408,507,185,107,587
"104","Grand Canyon",5850,720,1683,189,573,468,708,2097,315,769,390,378,214,73,511,710,1682,188,578,371,531,1979,297,769,350,435,192,98,628
"105","Green Bay",6077,844,1933,180,570,505,728,2373,367,855,411,416,215,124,600,844,1918,262,722,421,634,2371,342,842,429,430,188,96,604
"106","Hampton",5826,694,1705,185,574,412,570,1985,331,719,339,402,137,108,594,702,1618,201,564,476,691,2081,298,749,314,409,163,86,537
"107","Hartford",6475,730,1814,263,777,413,591,2136,292,754,367,462,228,118,604,874,1924,250,643,467,671,2465,394,885,511,419,207,117,568
"108","Harvard",5200,650,1370,213,555,351,467,1864,256,661,367,347,160,110,498,603,1434,154,494,386,566,1746,278,610,322,322,175,67,421
"109","Hawaii",5850,630,1584,201,626,421,584,1842,273,651,394,404,141,55,550,708,1566,176,520,401,600,1993,264,703,316,404,199,89,595
"110","High Point",5700,650,1528,175,467,428,556,1903,269,683,336,365,164,83,503,702,1551,211,622,349,520,1981,266,688,365,372,189,110,536
"111","Hofstra",6250,815,1848,280,769,474,696,2384,358,754,397,329,137,71,531,880,1880,238,645,400,552,2398,317,800,456,332,160,91,626
"112","Holy Cross",6427,663,1551,236,685,370,534,1932,189,622,431,351,302,76,516,702,1551,248,724,336,471,1988,298,786,430,508,153,93,554
"113","Houston",6425,850,1902,268,681,390,544,2358,362,773,406,315,170,113,603,701,1718,218,662,457,633,2077,342,775,360,437,153,98,578
"114","Houston Baptist",5399,714,1620,163,486,406,612,2032,351,642,377,375,164,62,537,729,1559,201,555,450,604,2109,257,632,381,360,199,98,540
"115","Howard",6400,682,1755,160,549,497,705,2021,393,780,287,441,170,114,595,800,1856,245,681,464,664,2309,389,825,458,397,215,101,654
"116","IUPUI",6050,817,1837,261,690,415,610,2310,331,681,408,364,193,77,587,813,1690,212,580,507,633,2390,283,787,410,411,165,114,598
"117","Idaho",6350,750,1744,239,657,496,696,2235,332,796,393,402,148,77,662,706,1701,254,731,552,731,2218,278,764,365,379,172,85,625
"118","Idaho St.",6050,717,1654,226,635,428,630,2088,228,660,300,383,218,70,568,860,1773,284,712,436,607,2440,316,808,450,388,204,97,574
"119","Ill.-Chicago",6875,875,1995,248,710,543,720,2556,400,928,480,537,181,173,655,944,2120,231,641,516,708,2635,424,830,477,419,244,117,644
"120","Illinois",6625,824,1880,247,685,413,604,2308,319,820,432,416,181,73,610,818,1879,232,690,410,568,2278,294,802,379,413,177,91,613
"121","Illinois St.",6825,834,1828,291,787,378,569,2337,354,900,465,416,234,151,602,710,1881,236,689,423,613,2079,359,811,378,425,197,87,559
"122","Incarnate Word",5025,621,1403,199,527,426,612,1867,197,607,306,343,134,108,514,727,1546,136,404,440,601,2030,292,691,344,306,174,91,467
"123","Indiana",6675,959,2004,295,776,498,683,2711,413,913,488,491,209,157,647,867,2021,233,692,485,743,2491,355,723,410,379,214,136,620
"124","Indiana St.",6175,731,1780,239,703,373,548,2074,259,815,396,384,194,125,642,738,1754,202,541,522,751,2200,338,900,357,383,169,127,526
"125","Iona",7075,979,2155,342,862,513,668,2813,337,913,541,421,239,108,669,911,2183,264,776,507,729,2689,431,910,504,461,170,101,603
"126","Iowa",6975,964,2035,300,791,471,741,2622,408,897,569,472,237,130,610,976,2195,289,807,413,603,2654,427,875,587,486,265,117,638
"127","Iowa St.",6875,979,2100,326,860,423,604,2699,318,901,491,355,272,124,558,933,2178,270,781,393,558,2529,417,921,484,491,167,121,579
"128","Jackson St.",5852,642,1669,194,648,380,562,1858,378,668,302,356,172,75,591,646,1475,171,516,506,714,1969,269,734,349,381,145,77,515
"129","Jacksonville",5824,740,1629,272,701,410,563,2162,257,651,363,376,229,48,521,783,1605,249,659,360,538,2213,262,719,419,424,165,90,540
"130","Jacksonville St.",6650,805,1758,240,646,422,587,2272,327,824,456,447,146,125,597,775,1828,256,677,453,628,2259,329,722,382,357,192,86,581
"131","James Madison",6477,738,1674,204,612,432,605,2112,299,798,367,431,183,86,651,754,1720,251,725,475,663,2234,273,730,405,374,181,86,588
"132","Kansas",7275,1071,2193,318,787,535,789,2995,428,964,584,456,250,162,609,924,2200,250,717,472,660,2588,407,827,461,483,245,132,675
"133","Kansas St.",7025,869,1883,247,683,538,775,2523,330,803,522,453,271,130,630,827,1921,250,654,468,642,2372,383,787,459,498,220,114,683
"134","Kennesaw St.",6000,828,1799,192,466,384,551,2232,331,724,467,403,154,80,568,836,1746,205,549,429,632,2306,288,731,371,374,196,94,543
"135","Kent St.",7125,948,2224,246,776,519,723,2661,513,881,427,450,218,125,673,908,2070,258,731,499,711,2573,373,834,471,477,203,84,675
"136","Kentucky",7625,1090,2396,267,756,690,981,3225,470,1041,552,443,229,201,718,979,2309,235,768,523,774,2716,398,933,431,491,182,127,868
"137","LIU Brooklyn",6270,774,1779,178,512,443,690,2200,404,783,336,449,178,100,621,753,1738,216,611,456,645,2178,318,705,382,418,193,120,621
"138","LSU",6200,853,1893,196,584,417,599,2319,355,761,397,451,186,110,595,897,1899,277,724,501,698,2572,350,791,484,383,215,112,556
"139","La Salle",5825,761,1666,255,700,489,638,2266,249,724,425,369,191,64,560,810,1733,262,665,415,573,2297,276,721,450,374,185,87,549
"140","La.-Monroe",5000,750,1799,216,664,314,467,2030,328,762,406,406,143,69,545,782,1769,224,631,407,601,2195,318,785,408,344,196,125,497
"141","Lafayette",5826,676,1588,207,633,332,467,1891,198,715,362,420,139,81,492,789,1709,268,704,351,519,2215,294,792,440,369,219,62,519
"142","Lamar University",6075,757,1709,229,639,465,689,2208,336,698,393,412,207,88,654,761,1632,171,520,463,687,2191,290,744,413,416,185,142,598
"143","Lehigh",6025,828,1726,258,658,425,552,2339,221,830,448,435,210,96,530,787,1729,241,692,374,508,2189,263,732,419,408,195,79,550
"144","Liberty",6223,700,1621,277,776,413,554,2107,150,717,403,330,200,51,623,694,1544,207,642,474,608,2086,235,851,359,428,146,80,549
"145","Lipscomb",6025,827,1774,297,823,494,679,2483,296,758,523,457,199,93,612,813,1778,223,575,510,735,2396,338,750,406,463,211,105,589
"146","Little Rock",5600,708,1633,186,550,389,528,1991,285,695,342,363,172,109,547,697,1552,213,588,452,626,2059,265,717,377,393,164,78,488
"147","Long Beach St.",6526,825,1905,206,587,501,690,2357,372,754,417,416,174,72,645,819,1908,241,636,502,718,2415,371,802,448,431,221,125,638
"148","Longwood",5601,673,1541,173,533,326,447,1845,202,646,294,433,161,115,501,784,1710,216,582,384,550,2154,334,737,368,347,226,70,438
"149","Louisiana",6001,862,1885,216,631,553,741,2493,414,742,435,407,209,80,597,863,1789,221,596,424,667,2411,286,728,396,455,188,105,612
"150","Louisiana Tech",6217,846,1818,247,666,444,628,2383,314,836,505,385,203,153,491,767,1824,197,622,337,491,2087,296,762,437,423,178,97,544
"151","Louisville",6650,922,2026,226,647,473,693,2543,447,860,442,364,220,182,634,739,1837,207,654,498,717,2183,341,764,357,444,164,115,607
"152","Loyola Chicago",5900,749,1566,229,598,347,489,2074,186,683,419,334,195,71,502,692,1529,195,521,369,520,1948,243,710,347,416,149,98,506
"153","Loyola Maryland",6450,724,1738,174,524,474,682,2096,369,705,366,474,230,109,617,783,1679,184,551,433,602,2183,276,750,407,460,223,140,625
"154","Loyola Marymount",5425,703,1575,198,560,302,491,1906,300,617,395,359,186,95,544,651,1443,177,502,408,611,1921,265,667,388,367,169,92,505
"155","Maine",6197,715,1792,198,634,345,530,1973,315,756,359,409,159,59,551,807,1811,227,628,407,606,2355,310,859,439,355,208,111,495
"156","Manhattan",6023,754,1729,209,637,542,743,2259,355,766,350,490,224,105,758,796,1759,224,571,633,940,2485,331,796,480,469,210,114,653
"157","Marist",6448,749,1747,245,736,480,662,2223,235,763,352,409,146,83,629,879,1824,250,663,522,707,2423,374,854,474,350,204,99,614
"158","Marquette",6200,919,1889,336,783,457,585,2631,280,779,525,396,217,115,621,858,1870,235,639,465,667,2418,321,754,511,418,210,115,549
"159","Marshall",6875,990,2169,308,885,590,805,2805,316,938,558,422,201,135,626,992,2172,238,688,476,723,2874,458,978,509,446,208,116,699
"160","Maryland",6425,800,1778,265,730,480,684,2345,329,792,454,414,168,147,596,781,1867,210,614,392,609,2201,378,754,365,393,196,117,614
"161","Massachusetts",6600,847,1939,234,789,443,671,2371,333,852,529,489,250,169,684,783,1897,212,615,555,789,2372,368,852,453,472,221,95,603
"162","McNeese",5025,609,1445,170,501,347,501,1735,235,600,255,360,135,77,496,687,1529,167,483,426,605,1967,332,683,332,320,164,78,473
"163","Memphis",6450,852,1849,181,613,482,706,2367,373,799,473,368,221,150,534,794,1879,246,729,428,623,2262,352,809,433,435,185,132,609
"164","Mercer",6076,718,1646,222,645,424,540,2084,334,747,386,346,124,72,533,698,1654,257,729,437,585,2090,296,652,415,302,170,105,556
"165","Miami (FL)",6225,751,1673,192,546,419,580,2113,329,770,365,398,199,121,486,713,1715,187,590,361,487,1974,301,688,369,366,189,89,521
"166","Miami (OH)",6051,728,1688,185,598,435,624,2076,269,721,334,407,221,111,610,752,1707,231,721,503,683,2258,336,810,371,444,241,112,586
"167","Michigan",7675,1002,2076,342,892,486,624,2851,280,831,529,348,220,109,574,958,2062,224,593,383,561,2523,356,854,439,479,162,95,650
"168","Michigan St.",7025,905,1927,273,732,432,645,2515,328,947,558,490,151,162,702,832,2029,229,662,511,704,2404,355,797,446,380,211,105,659
"169","Middle Tenn.",7025,975,2007,223,605,422,602,2595,338,886,530,362,238,97,644,764,1816,211,643,496,694,2235,277,781,390,460,162,81,578
"170","Milwaukee",6700,826,1887,265,723,342,517,2259,280,780,449,408,159,50,616,875,1865,247,733,424,603,2436,285,862,471,397,199,122,557
"171","Minnesota",6950,887,2038,209,611,573,806,2556,378,963,507,393,194,212,579,857,2063,220,712,427,626,2361,416,896,460,429,192,124,692
"172","Mississippi St.",6426,821,1849,247,711,431,627,2320,310,823,386,433,222,131,638,792,1852,199,632,498,702,2281,353,832,373,449,164,108,561
"173","Mississippi Val.",6477,818,1942,174,508,423,651,2235,385,723,374,460,218,60,624,935,1910,286,751,509,675,2665,370,880,461,456,237,117,601
"174","Missouri",6450,744,1893,225,739,500,732,2213,357,811,386,384,200,68,649,779,1821,247,719,528,775,2333,351,909,397,437,168,145,673
"175","Missouri St.",6525,764,1831,261,681,434,619,2303,364,801,387,397,166,119,570,791,1793,223,638,445,591,2250,261,741,434,349,191,84,583
"176","Monmouth",6875,929,2127,287,813,600,793,2761,380,930,431,425,220,155,698,853,2097,250,796,532,702,2504,399,900,444,498,201,151,697
"177","Montana",6250,815,1823,233,649,456,608,2319,303,757,405,327,181,91,681,772,1686,198,571,521,745,2263,278,778,349,391,156,126,596
"178","Montana St.",5925,794,1842,298,753,489,668,2375,309,767,394,367,173,68,656,764,1694,244,655,611,762,2383,295,827,381,407,170,96,657
"179","Morehead St.",5677,785,1739,187,530,369,500,2144,355,654,400,369,168,84,599,739,1562,244,607,471,658,2193,256,658,383,389,138,104,491
"180","Morgan St.",5850,659,1730,153,524,466,653,1937,411,717,307,405,163,95,585,723,1638,156,541,446,680,2048,323,759,405,410,206,112,572
"181","Mt. St. Mary's",7226,877,1977,261,730,431,640,2446,276,805,403,472,222,122,640,923,2039,190,558,438,664,2474,431,920,405,509,230,90,674
"182","Murray St.",6100,833,1912,275,717,496,668,2437,374,774,418,376,177,63,625,826,1819,243,676,500,700,2395,324,802,410,399,177,104,587
"183","N.C. A&T",6099,677,1612,183,569,366,540,1903,326,696,324,428,130,60,550,776,1633,256,720,437,669,2307,343,706,496,282,171,119,497
"184","N.C. Central",6200,806,1790,224,684,425,612,2261,340,823,423,376,186,98,530,733,1829,190,651,328,513,1984,374,739,326,419,147,80,551
"185","NJIT",5600,712,1703,236,706,399,567,2061,324,693,355,406,182,76,566,781,1637,246,640,424,595,2232,233,737,428,378,185,85,554
"186","Navy",6225,709,1689,198,647,356,561,2002,410,680,415,414,220,64,578,691,1510,218,609,406,588,2008,242,701,409,480,215,93,566
"187","Nebraska",6100,767,1854,171,537,393,556,2098,399,743,338,394,208,109,563,791,1750,237,583,407,583,2226,317,786,404,408,188,148,551
"188","Nevada",6825,911,2035,315,820,592,835,2729,379,949,545,378,185,147,562,887,2094,231,748,410,592,2415,334,863,457,391,191,78,706
