"","teamname","MINS","FG","FGA","FG3","FG3A","FT","FTA","PTS","OREB","DREB","AST","TO","STL","BLK","FLS","opp_FG","opp_FGA","opp_3FG","opp_3FGA","opp_FT","opp_FTA","opp_PTS","opp_OREB","opp_DREB","opp_AST","opp_TO","opp_STL","opp_BLK","opp_FLS"
"190","New Mexico",6275,686,1589,148,481,401,609,1921,331,750,398,392,178,139,538,643,1601,210,668,370,526,1866,268,665,384,361,188,103,559
"191","New Mexico St.",6250,733,1495,147,398,479,676,2092,382,704,363,425,198,112,487,688,1623,115,383,353,511,1844,311,581,340,395,167,70,582
"192","New Orleans",5250,607,1424,111,327,459,654,1784,328,564,240,400,181,80,506,681,1394,165,436,400,613,1927,276,591,345,382,196,122,562
"193","Niagara",5801,642,1608,184,524,460,662,1930,343,673,338,408,172,69,559,762,1618,215,568,415,588,2154,282,729,443,358,191,126,574
"194","Nicholls St.",5251,573,1342,138,443,358,569,1644,270,585,324,448,178,106,580,622,1404,145,448,514,712,1918,308,627,282,365,224,92,490
"195","Norfolk St.",6500,787,1677,173,501,469,716,2216,342,801,422,439,153,160,640,731,1768,240,707,460,696,2162,350,655,373,383,185,112,608
"196","North Carolina",7250,1005,2117,176,494,550,782,2826,506,964,628,456,238,150,668,841,2109,233,744,564,805,2479,429,743,413,426,243,136,660
"197","North Carolina St.",7251,895,2054,236,662,499,727,2525,435,934,415,375,138,184,637,827,2052,212,643,501,712,2367,402,845,426,349,191,141,681
"198","North Dakota",5654,655,1525,168,508,400,549,1878,242,645,329,319,166,83,601,732,1544,177,459,473,652,2114,265,737,380,350,187,100,527
"199","North Dakota St.",6275,689,1605,218,570,398,574,1994,263,769,288,309,139,114,478,684,1625,195,539,370,498,1935,239,745,347,319,143,77,530
"200","North Florida",6398,794,1740,279,733,502,691,2369,308,796,431,397,190,126,537,809,1857,160,512,427,633,2205,372,743,377,387,207,86,599
"201","North Texas",5825,663,1564,141,471,396,625,1863,319,692,281,390,193,93,517,679,1598,204,602,409,610,1986,342,708,351,395,199,101,528
"202","Northeastern",6849,815,1673,196,502,503,692,2329,292,839,486,473,178,126,483,847,1889,188,546,325,475,2207,280,661,419,340,227,117,624
"203","Northern Ariz.",7279,827,2066,243,702,565,752,2462,478,902,439,425,173,146,677,845,1950,205,643,545,753,2440,326,863,380,398,196,130,662
"204","Northern Colo.",5699,743,1580,188,501,392,554,2066,320,588,340,296,181,53,553,716,1488,227,565,424,602,2083,307,627,394,365,125,104,510
"205","Northern Ill.",5875,633,1485,147,456,472,700,1885,356,627,286,404,218,70,526,650,1462,215,634,418,598,1933,283,623,355,400,194,111,581
"206","Northern Ky.",5650,702,1561,196,586,312,469,1912,270,639,334,325,156,79,572,653,1473,186,524,486,667,1978,275,676,332,303,153,101,458
"207","Northwestern",6275,727,1669,228,635,349,477,2031,277,775,460,357,118,126,573,724,1740,237,629,381,571,2066,347,726,431,305,167,81,480
"208","Northwestern St.",5600,819,1772,221,644,467,622,2342,310,631,430,332,196,121,530,849,1675,204,547,451,650,2369,401,728,426,408,160,99,553
"209","Notre Dame",7250,1022,1996,293,747,545,732,2882,295,893,563,347,250,132,526,915,2148,220,673,371,521,2421,423,786,455,416,190,90,612
"210","Oakland",6100,794,1747,224,637,426,665,2283,322,717,440,392,178,54,546,845,1794,229,627,443,621,2362,315,748,483,343,239,94,586
"211","Ohio",6024,727,1678,217,637,357,486,2028,267,755,341,382,154,128,512,764,1775,221,615,417,571,2166,331,764,356,313,188,85,491
"212","Ohio St.",7050,964,1995,236,637,471,693,2635,387,854,534,396,248,178,563,790,1959,238,739,384,545,2204,401,767,454,503,179,100,623
"213","Oklahoma",6600,885,2035,236,650,495,668,2501,389,943,430,419,237,174,570,794,2057,211,710,383,585,2196,432,845,392,468,224,131,625
"214","Oklahoma St.",5800,698,1604,216,624,457,626,2069,269,710,350,372,241,150,595,661,1613,178,518,466,678,1966,344,730,347,423,188,112,565
"215","Old Dominion",7049,836,1935,207,636,394,592,2273,438,829,472,377,221,115,618,672,1678,204,654,451,685,1999,305,779,338,451,165,96,591
"216","Ole Miss",6845,848,2003,220,631,559,723,2475,430,854,450,378,225,128,668,762,1885,257,755,532,777,2326,391,806,484,430,167,122,635
"217","Omaha",5650,733,1662,173,523,493,662,2132,310,663,332,354,223,77,571,725,1623,209,556,458,631,2087,269,708,432,421,179,105,604
"218","Oral Roberts",6450,691,1705,186,519,516,759,2087,324,725,336,372,165,121,609,791,1742,196,522,470,659,2248,331,773,365,393,184,86,634
"219","Oregon",7100,950,2063,258,700,461,600,2619,353,885,484,405,198,150,643,875,2060,228,650,509,730,2487,407,815,417,400,195,92,610
"220","Oregon St.",6025,629,1514,154,482,389,557,1801,279,657,353,356,211,106,566,559,1451,178,593,476,643,1772,320,700,340,420,188,96,537
"221","Pacific",5276,562,1385,179,511,356,546,1659,322,562,294,327,106,61,559,614,1348,171,479,420,583,1819,261,601,362,264,133,112,480
"222","Penn",5625,599,1379,155,448,334,494,1687,257,628,329,419,153,67,557,637,1441,201,534,375,530,1882,258,613,371,322,191,112,478
"223","Penn St.",6650,795,1811,227,679,456,656,2273,354,847,336,414,206,122,658,750,1879,204,626,546,780,2144,380,836,394,405,191,123,611
"224","Pepperdine",5800,631,1506,136,428,420,567,1818,275,687,377,362,175,95,503,652,1582,122,475,355,531,1781,336,669,347,353,199,98,539
"225","Pittsburgh",6275,765,1695,145,433,403,590,2078,356,666,491,307,151,92,552,707,1601,171,492,428,606,2013,314,676,390,340,150,103,534
"226","Portland",5700,691,1552,189,499,402,556,1973,335,644,414,344,161,127,513,690,1560,173,501,398,539,1951,292,598,341,317,185,92,539
"227","Portland St.",5425,654,1522,176,472,421,528,1905,262,607,340,297,159,106,480,715,1544,197,512,356,485,1983,288,687,403,295,150,88,519
"228","Prairie View",6400,801,1869,172,520,373,577,2147,376,659,343,460,279,102,698,749,1705,153,514,581,828,2232,440,796,379,508,211,132,558
"229","Presbyterian",5600,625,1406,113,357,303,468,1666,234,625,286,341,135,75,452,712,1565,248,648,307,449,1882,316,623,398,279,193,87,443
"230","Princeton",5801,639,1394,236,633,424,600,1970,179,690,366,354,160,87,554,658,1491,164,444,409,623,1924,247,684,312,347,170,103,557
"231","Providence",6850,828,1889,171,546,543,768,2370,411,817,474,407,242,155,628,760,1804,218,654,489,709,2227,334,759,411,442,196,107,656
"232","Purdue",6675,805,1784,188,577,476,702,2307,393,819,489,411,182,175,625,727,1819,195,559,485,698,2134,367,689,371,385,232,107,634
"233","Quinnipiac",5650,715,1737,165,537,497,643,2092,491,870,416,416,107,160,570,711,1709,193,550,411,597,2026,313,676,364,286,198,100,567
"234","Radford",6300,782,1752,187,574,426,621,2177,369,729,387,373,212,135,577,758,1737,167,500,413,630,2126,355,701,345,387,207,111,541
"235","Rhode Island",6425,741,1660,141,462,515,785,2138,344,790,412,442,204,164,637,658,1632,118,433,498,701,1932,326,722,321,464,215,131,646
"236","Rice",5975,619,1459,253,720,366,491,1872,239,665,363,413,176,65,548,679,1533,170,494,404,613,1932,316,665,395,367,197,101,490
"237","Richmond",6450,806,1763,220,654,409,594,2241,232,769,452,335,238,114,574,739,1788,156,528,424,596,2058,377,818,315,457,157,97,613
"238","Rider",6675,784,1790,200,599,385,638,2153,357,774,400,413,234,87,591,706,1712,215,658,476,646,2103,325,791,401,466,216,94,611
"239","Robert Morris",7051,854,1926,221,590,485,684,2414,367,795,428,467,285,100,650,837,1941,241,707,482,730,2397,446,816,521,512,224,122,624
"240","Rutgers",6401,687,1751,152,515,372,570,1898,359,759,343,417,178,118,530,771,1775,225,668,383,568,2150,347,817,435,378,205,105,536
"241","SFA",6224,831,1703,217,624,524,714,2419,371,689,539,427,224,102,668,676,1528,144,427,524,751,2022,290,617,324,480,180,110,657
"242","SIUE",5000,590,1392,174,471,347,522,1701,258,608,300,330,156,105,478,618,1429,150,472,366,528,1772,285,639,362,345,159,94,499
"243","SMU",6625,809,1690,142,391,520,741,2280,369,828,486,407,228,133,535,669,1751,261,764,372,546,1971,341,637,410,423,214,116,620
"244","Sacramento St.",6200,776,1619,194,475,425,575,2171,254,639,428,325,213,72,527,779,1642,209,600,378,530,2145,318,681,460,385,165,100,540
"245","Sacred Heart",5875,833,1760,164,512,426,661,2256,390,793,442,427,199,109,569,811,1878,225,649,452,631,2299,385,761,398,404,238,111,562
"246","Saint Francis (PA)",6250,687,1588,216,616,369,549,1959,258,687,357,383,205,76,487,720,1645,188,581,353,495,1981,315,744,352,406,181,92,522
"247","Saint Joseph's",6300,688,1704,167,559,369,600,1912,352,747,394,387,205,135,523,722,1702,199,572,356,533,1999,327,768,414,383,191,105,554
"248","Saint Louis",6250,626,1534,165,514,415,636,1832,281,664,373,433,160,70,620,710,1556,185,518,469,693,2074,314,752,409,414,213,136,611
"249","Saint Peter's",6900,698,1695,193,563,492,745,2081,353,756,344,413,213,101,654,654,1654,187,600,553,758,2048,332,771,340,443,202,115,668
"250","Sam Houston St.",6000,703,1709,222,655,563,791,2191,407,808,413,410,187,131,638,665,1559,148,459,434,674,1912,304,725,377,426,189,105,641
"251","Samford",6226,746,1690,191,562,439,640,2122,313,663,399,400,227,94,600,772,1635,198,509,499,693,2241,343,730,451,439,203,131,595
"252","San Diego",5599,621,1462,175,500,398,531,1815,283,633,343,332,173,97,533,603,1408,127,382,416,609,1749,287,656,303,374,151,102,545
"253","San Diego St.",7075,774,1857,182,568,424,673,2154,431,801,361,399,231,172,498,695,1724,176,576,323,464,1889,338,775,319,451,190,137,588
"254","San Francisco",5852,710,1569,184,544,416,658,2020,310,706,405,344,170,73,593,665,1585,199,571,439,622,1968,317,678,345,366,153,84,597
"255","San Jose St.",5625,503,1452,186,633,279,422,1471,245,590,263,386,136,69,513,687,1449,191,492,380,575,1979,275,774,421,318,195,85,437
"256","Santa Clara",5625,611,1465,193,555,334,453,1749,260,566,326,292,153,53,531,633,1399,177,472,429,607,1872,292,663,379,326,140,106,481
"257","Savannah St.",5825,614,1504,97,385,291,515,1616,306,566,267,439,253,69,568,661,1389,149,402,490,701,1961,288,714,348,474,254,147,527
"258","Seattle U",6425,688,1565,213,564,378,570,1967,297,762,435,439,172,47,541,683,1692,226,613,379,567,2004,303,664,411,345,240,93,543
"259","Seton Hall",6251,735,1745,213,609,436,664,2119,391,732,384,363,185,127,595,752,1749,167,557,436,663,2107,363,737,411,371,207,116,529
"260","Siena",6224,748,1736,152,458,516,727,2164,395,628,411,389,233,111,649,734,1625,201,556,552,776,2289,371,694,373,441,200,120,628
"261","South Ala.",6275,713,1694,194,590,433,663,2121,328,772,328,449,141,115,550,835,1900,193,564,457,647,2320,382,764,403,326,204,100,561
"262","South Carolina",6400,704,1755,177,588,483,654,2068,388,743,416,409,197,124,618,640,1641,189,596,525,730,1994,341,731,330,437,188,122,602
"263","South Carolina St.",6225,642,1713,171,567,338,562,1793,358,694,323,391,181,94,557,754,1673,199,596,393,609,2100,346,833,372,406,184,133,510
"264","South Dakota",6076,750,1720,196,548,443,607,2139,353,732,355,349,174,72,576,767,1704,204,602,407,606,2183,272,784,404,364,163,110,550
"265","South Dakota St.",6653,803,1804,267,700,521,728,2396,320,849,397,374,174,118,655,748,1792,196,565,488,692,2180,333,790,374,399,206,87,685
"266","South Fla.",6075,693,1605,130,421,314,511,1830,321,681,334,410,173,144,563,692,1617,211,559,465,636,2060,362,696,391,369,202,106,512
"267","Southeast Mo. St.",5400,677,1564,175,520,378,524,1907,322,650,337,359,192,122,565,663,1508,189,482,400,631,1949,300,679,332,360,164,73,515
"268","Southeastern La.",6276,775,1699,179,574,365,552,2094,302,737,377,481,185,109,569,786,1787,216,647,440,606,2244,350,735,410,414,207,122,529
"269","Southern California",6225,787,1863,170,517,399,629,2143,366,783,397,401,208,133,565,811,1923,224,679,425,600,2271,408,797,430,427,220,119,542
"270","Southern Ill.",6400,653,1578,136,409,450,647,1892,323,675,267,409,211,68,562,667,1496,191,535,446,611,1984,239,706,388,419,190,102,577
"271","Southern Miss.",5449,569,1336,169,516,283,456,1590,228,559,323,378,162,56,420,661,1434,213,591,289,459,1859,290,628,385,342,188,93,437
"272","Southern U.",6448,709,1724,137,448,446,698,2001,370,774,312,427,217,128,658,683,1740,162,544,528,792,2056,407,785,310,437,200,118,626
"273","Southern Utah",5650,666,1471,207,522,380,570,1919,203,670,332,385,135,104,596,696,1441,172,462,503,642,2101,277,697,350,301,182,81,524
"274","St. Bonaventure",6250,733,1643,158,503,461,653,2085,384,769,383,384,206,149,535,707,1677,209,577,382,569,2005,314,714,407,401,184,112,581
"275","St. Francis Brooklyn",6876,804,1935,183,628,499,738,2328,504,810,411,446,223,157,621,758,1782,173,472,501,716,2190,328,768,361,429,217,104,647
"276","St. John's (NY)",6225,785,1772,188,542,438,632,2196,309,778,378,331,232,186,548,748,1837,217,659,399,612,2007,421,798,418,383,161,104,569
"277","St. Mary's (CA)",5849,729,1593,211,569,395,544,2064,312,757,448,357,152,68,526,683,1602,172,520,379,485,1917,248,627,381,292,182,91,537
"278","Stanford",7525,908,2089,246,651,576,797,2676,428,935,435,399,204,102,708,867,2048,247,661,510,747,2491,360,847,450,424,176,121,703
"279","Stetson",5600,655,1530,163,513,343,522,1816,258,652,327,340,117,91,483,738,1569,232,625,375,522,2083,351,730,388,305,170,83,491
"280","Stony Brook",6625,776,1804,175,544,404,608,2131,453,847,385,393,169,132,529,697,1747,211,617,394,514,1999,287,767,393,373,211,97,582
"281","Syracuse",6050,743,1713,150,497,403,611,2039,360,734,457,357,252,151,454,673,1661,194,619,354,504,1894,337,708,445,401,189,94,522
"282","TCU",6200,791,1809,150,459,517,841,2143,445,769,435,395,207,176,681,684,1708,140,418,550,820,2058,386,741,345,431,189,146,691
"283","Temple",7425,833,2149,219,772,535,716,2436,453,957,457,352,254,165,632,803,2040,210,669,447,683,2263,395,973,420,455,187,149,631
"284","Tennessee",6225,700,1646,171,568,369,535,1953,387,626,339,382,242,106,563,650,1488,220,604,439,633,1972,314,646,434,435,164,97,524
"285","Tennessee St.",5800,550,1435,161,462,360,580,1621,267,656,266,410,156,98,554,666,1532,200,652,440,643,1985,320,736,402,340,183,103,520
"286","Tennessee Tech",5400,704,1603,159,492,381,558,1948,360,646,361,388,162,94,545,696,1495,196,533,430,638,2018,267,630,361,353,210,77,495
"287","Texas",6200,796,1837,212,626,486,671,2184,422,929,442,435,128,237,555,702,1910,204,588,441,665,2049,372,691,355,303,214,105,602
"288","Texas A&M",6650,805,1778,181,521,445,676,2236,374,823,459,410,186,97,595,703,1749,232,748,439,637,2077,324,721,423,414,204,140,601
"289","Texas Southern",7152,818,1840,185,574,569,817,2390,394,799,375,454,214,109,609,882,1983,193,561,429,656,2386,422,772,421,431,228,132,727
"290","Texas St.",5227,579,1477,142,456,375,539,1675,285,608,301,359,191,61,493,599,1417,151,495,379,518,1728,284,697,307,415,177,96,504
"291","Texas Tech",6000,652,1610,169,524,476,742,1949,374,698,328,416,187,131,558,712,1668,217,640,418,619,2059,337,706,376,408,234,123,638
"292","The Citadel",5450,565,1271,183,455,370,483,1683,237,521,335,353,115,54,412,707,1448,182,519,309,429,1905,276,520,329,258,182,93,477
"293","Toledo",6650,863,1837,195,533,562,757,2483,360,844,432,379,170,108,563,844,1935,234,739,421,599,2343,353,722,425,361,232,109,654
"294","Towson",6300,652,1597,121,402,512,772,1937,446,745,263,390,108,120,625,672,1605,184,538,472,722,2037,312,638,349,288,175,140,622
"295","Troy",5452,619,1450,179,535,364,550,1781,290,614,246,380,177,53,423,689,1546,192,576,309,437,1879,312,639,362,350,166,89,490
"296","Tulane",5850,625,1552,173,591,369,566,1884,346,682,329,387,183,59,530,705,1568,155,460,374,566,1939,283,716,354,396,184,131,547
"297","Tulsa",6650,735,1754,182,563,470,726,2122,358,850,362,377,191,115,521,701,1792,229,688,364,554,1995,338,803,369,419,174,116,641
"298","UAB",6925,835,1962,196,590,481,653,2382,418,853,493,475,229,181,621,853,2008,204,639,461,674,2371,422,806,420,464,220,127,644
"299","UC Davis",6075,721,1479,255,577,431,543,2128,241,690,387,400,145,55,539,700,1654,200,579,385,551,1985,349,603,374,343,206,73,540
"300","UC Irvine",6250,758,1688,197,516,344,505,2057,305,791,426,361,174,146,525,682,1714,169,499,419,601,1952,344,714,334,342,180,90,519
"301","UC Riverside",5875,648,1590,188,534,364,536,1848,316,679,366,386,192,101,554,654,1516,179,451,462,644,1949,273,709,352,334,186,112,526
"302","UC Santa Barbara",6326,743,1711,210,567,402,548,2098,322,726,438,334,154,111,595,679,1618,190,537,443,646,2021,308,726,384,355,145,67,550
"303","UCF",5675,678,1577,192,557,357,554,1905,308,659,353,376,151,120,455,729,1676,174,533,294,478,2094,384,694,442,301,196,117,497
"304","UCLA",7251,930,2099,223,606,507,750,2477,440,927,470,407,238,139,645,855,2054,281,717,462,664,2453,371,862,499,438,228,107,650
"305","UConn",7025,800,1824,226,637,417,590,2137,331,847,416,404,166,183,573,738,1865,194,630,416,608,2101,373,769,376,388,194,128,581
"306","UMBC",6025,591,1441,153,469,347,539,1682,225,677,338,441,197,90,475,720,1604,203,562,370,530,2013,297,741,408,383,261,92,545
"307","UMES",6626,752,1660,213,557,512,781,2229,379,721,447,504,248,47,658,763,1705,215,663,475,700,2216,337,690,402,459,228,105,608
"308","UMKC",6325,661,1655,204,578,464,667,1886,347,617,342,404,230,99,597,727,1596,191,568,436,635,2081,356,746,417,423,191,125,613
"309","UMass Lowell",5677,575,1419,208,595,320,487,1678,202,588,299,373,178,27,507,669,1425,182,553,335,486,1871,256,734,358,425,164,92,501
"310","UNC Asheville",5624,683,1577,209,593,411,558,1986,307,679,364,401,193,111,553,689,1574,185,545,434,637,2029,323,665,386,353,218,101,497
"311","UNCG",6050,754,1714,195,540,337,536,2040,323,699,361,379,177,103,659,701,1577,199,566,548,765,2149,296,732,356,368,182,94,507
"312","UNCW",6275,718,1770,152,447,452,663,2134,345,739,342,384,231,138,651,719,1677,170,507,545,796,2153,353,770,358,435,192,112,537
"313","UNI",7101,776,1618,257,645,472,644,2281,254,817,413,363,207,84,508,684,1733,211,658,333,468,1912,301,690,332,391,167,84,646
"314","UNLV",6473,767,1750,223,617,380,572,2137,289,825,425,361,175,210,531,749,1876,201,536,373,561,2072,395,794,389,339,164,102,541
"315","USC Upstate",6400,787,1838,244,734,369,559,2187,404,758,439,347,231,93,539,719,1765,224,702,358,536,2020,381,745,392,417,165,88,537
"316","UT Arlington",6023,747,1709,196,626,441,651,2131,337,755,378,414,198,97,640,708,1713,203,693,455,677,2156,370,721,379,389,202,123,571
"317","UT Martin",5800,781,1697,250,635,379,534,2191,301,781,389,378,153,56,485,770,1750,239,676,355,504,2134,271,704,415,312,186,100,523
"318","UTEP",6625,800,1717,185,506,497,752,2282,312,828,452,406,178,133,566,760,1832,197,586,387,584,2104,352,756,384,406,203,96,629
"319","UTRGV",5600,591,1446,111,393,377,558,1670,291,596,354,346,161,80,507,683,1536,185,542,393,544,1944,344,665,389,341,196,100,518
"320","UTSA",5625,659,1564,177,543,454,658,1949,351,625,335,339,194,66,466,704,1550,209,619,334,459,1969,285,649,383,378,181,136,537
"321","Utah",6825,816,1709,256,638,523,742,2411,312,854,467,389,198,172,573,685,1783,163,492,417,611,1950,339,686,296,391,183,108,637
"322","Utah St.",6075,695,1541,226,573,373,561,1989,206,735,429,312,142,137,488,697,1723,185,618,297,502,1910,379,744,402,324,184,72,507
"323","Utah Valley",5599,554,1422,143,527,333,474,1598,271,616,348,352,125,62,490,634,1441,169,493,381,533,1818,271,675,330,309,189,102,486
"324","VCU",6627,896,2139,293,854,524,797,2609,444,833,456,384,321,153,690,822,1892,229,664,495,716,2368,367,952,467,525,210,124,638
"325","VMI",5699,732,1887,282,975,388,562,2158,391,663,357,390,217,157,609,751,1634,145,425,467,726,2324,340,837,391,447,201,123,515
"326","Valparaiso",6225,742,1581,216,562,414,563,2114,351,783,383,373,174,132,518,636,1631,203,608,352,545,1857,295,661,352,366,203,103,560
"327","Vanderbilt",6700,781,1660,219,612,469,709,2314,314,784,510,429,159,153,574,746,1813,207,600,433,631,2132,382,668,370,383,213,99,629
"328","Vermont",6401,767,1644,158,498,485,658,2193,264,817,398,430,211,158,635,662,1702,155,501,463,691,1971,331,723,319,427,223,120,637
"329","Villanova",7050,897,1890,300,809,543,748,2581,359,844,563,377,273,143,574,773,1911,190,621,386,570,2122,379,739,419,453,194,92,681
"330","Virginia",6200,762,1651,162,452,426,586,2112,332,818,407,295,179,133,459,583,1587,179,583,306,470,1653,261,647,292,342,162,81,527
"331","Virginia Tech",6450,757,1699,234,599,355,553,2103,267,688,386,353,141,96,585,785,1796,242,692,408,612,2220,398,762,444,396,171,143,540
"332","Wagner",5651,694,1743,167,545,414,591,1969,425,645,302,402,181,75,661,704,1500,194,514,555,712,2157,280,718,397,396,199,140,558
"333","Wake Forest",5825,711,1701,191,578,411,644,2056,362,772,423,404,197,110,532,768,1712,204,602,405,594,2145,273,746,406,353,234,120,548
"334","Washington",6226,765,1747,193,579,405,593,2128,329,753,412,361,152,153,535,765,1816,177,535,398,575,2105,375,726,366,346,187,96,553
"335","Washington St.",6275,743,1712,196,590,489,679,2189,282,744,453,367,120,102,570,866,1850,205,548,436,629,2373,324,786,417,299,187,93,594
"336","Weber St.",5650,574,1403,198,567,481,645,1827,265,649,316,373,140,107,509,714,1558,155,432,350,491,1933,282,654,339,302,177,86,543
"337","West Virginia",6400,799,1918,220,706,557,842,2459,563,681,482,439,340,95,756,742,1590,183,509,568,868,2269,305,838,397,521,198,143,762
"338","Western Caro.",6125,745,1720,189,543,414,595,2093,373,675,349,409,238,131,638,675,1568,221,633,552,823,2161,346,702,371,422,232,99,572
"339","Western Ill.",5226,553,1416,178,506,298,429,1582,185,632,300,322,130,60,451,657,1463,169,476,382,543,1865,257,741,338,294,157,90,432
"340","Western Ky.",6075,721,1680,223,626,427,650,2092,326,764,410,389,155,96,545,728,1700,198,599,391,579,2045,315,745,372,387,193,103,574
"341","Western Mich.",6474,758,1689,217,604,512,722,2245,309,723,388,380,205,69,590,771,1724,248,700,453,632,2243,316,727,407,397,188,97,645
"342","Wichita St.",6849,825,1866,229,617,476,676,2355,395,793,454,316,244,129,568,674,1668,179,507,424,610,1951,299,751,304,450,138,116,611
"343","William & Mary",6000,772,1608,268,689,416,570,2228,224,741,444,351,191,123,501,749,1710,229,649,378,545,2105,319,703,413,354,206,71,529
"344","Winthrop",5900,714,1629,226,637,424,585,2078,295,705,340,347,195,122,485,679,1557,180,551,439,629,1977,335,708,312,373,172,104,522
"345","Wisconsin",8050,1014,2115,288,790,584,765,2900,383,955,504,296,174,127,501,896,2092,202,538,333,469,2327,297,809,359,378,163,84,723
"346","Wofford",6400,738,1629,201,547,429,622,2106,299,729,417,348,203,79,545,678,1608,156,508,412,588,1924,285,708,294,397,167,104,592
"347","Wright St.",5850,661,1512,183,536,327,477,1832,218,621,378,357,153,73,562,681,1496,171,485,452,616,1985,276,721,371,374,168,103,454
"348","Wyoming",6475,695,1521,198,608,432,614,2020,202,773,463,370,179,95,462,684,1606,206,590,319,452,1893,285,718,331,352,180,78,613
"349","Xavier",7275,956,1936,234,666,566,775,2712,364,918,596,447,223,106,661,886,2035,261,756,427,678,2492,345,799,485,464,245,133,740
"350","Yale",5600,663,1447,197,539,442,623,1965,326,716,383,386,170,113,502,665,1562,156,505,347,517,1833,276,625,335,357,183,97,572
"351","Youngstown St.",5851,726,1643,192,540,410,589,2054,277,639,406,342,171,56,510,779,1589,228,601,439,613,2225,332,723,431,353,182,108,516
